tanggal,bulan,tahun,wilayah_samsat,jenis_pajak,jumlah_pajak
31,10,2020,Jakarta Barat,Pajak Kendaraan Bermotor,135458208650
31,10,2020,Jakarta Pusat,Pajak Kendaraan Bermotor,104737203550
31,10,2020,Jakarta Selatan,Pajak Kendaraan Bermotor,157689970000
31,10,2020,Jakarta Timur,Pajak Kendaraan Bermotor,135154751425
31,10,2020,Jakarta Utara,Pajak Kendaraan Bermotor,95852538464
