id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_kunjungan,jumlah_kunjungan,satuan,tahun
46,32,JAWA BARAT,3216,KABUPATEN BEKASI,KUNJUNGAN RAWAT JALAN,1888196,ORANG,2019
47,32,JAWA BARAT,3216,KABUPATEN BEKASI,KUNJUNGAN RAWAT INAP,3365,ORANG,2019
48,32,JAWA BARAT,3216,KABUPATEN BEKASI,KUNJUNGAN GANGGUAN JIWA,2963,ORANG,2019
49,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
50,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KUNJUNGAN RAWAT INAP,0,ORANG,2019
51,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
52,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KUNJUNGAN RAWAT JALAN,239574,ORANG,2019
53,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KUNJUNGAN RAWAT INAP,14079,ORANG,2019
54,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KUNJUNGAN GANGGUAN JIWA,442,ORANG,2019
55,32,JAWA BARAT,3271,KOTA BOGOR,KUNJUNGAN RAWAT JALAN,1419789,ORANG,2019
56,32,JAWA BARAT,3271,KOTA BOGOR,KUNJUNGAN RAWAT INAP,488,ORANG,2019
57,32,JAWA BARAT,3271,KOTA BOGOR,KUNJUNGAN GANGGUAN JIWA,17525,ORANG,2019
58,32,JAWA BARAT,3272,KOTA SUKABUMI,KUNJUNGAN RAWAT JALAN,636256,ORANG,2019
59,32,JAWA BARAT,3272,KOTA SUKABUMI,KUNJUNGAN RAWAT INAP,0,ORANG,2019
60,32,JAWA BARAT,3272,KOTA SUKABUMI,KUNJUNGAN GANGGUAN JIWA,3105,ORANG,2019
61,32,JAWA BARAT,3273,KOTA BANDUNG,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
62,32,JAWA BARAT,3273,KOTA BANDUNG,KUNJUNGAN RAWAT INAP,0,ORANG,2019
63,32,JAWA BARAT,3273,KOTA BANDUNG,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
64,32,JAWA BARAT,3274,KOTA CIREBON,KUNJUNGAN RAWAT JALAN,312009,ORANG,2019
65,32,JAWA BARAT,3274,KOTA CIREBON,KUNJUNGAN RAWAT INAP,515,ORANG,2019
66,32,JAWA BARAT,3274,KOTA CIREBON,KUNJUNGAN GANGGUAN JIWA,457,ORANG,2019
67,32,JAWA BARAT,3275,KOTA BEKASI,KUNJUNGAN RAWAT JALAN,1736746,ORANG,2019
68,32,JAWA BARAT,3275,KOTA BEKASI,KUNJUNGAN RAWAT INAP,1391,ORANG,2019
