tanggal,bulan,tahun,wilayah_samsat,jenis_pajak,jumlah_pajak
30,11,2020,Jakarta Barat,Pajak Kendaraan Bermotor,157181998650
30,11,2020,Jakarta Pusat,Pajak Kendaraan Bermotor,118341807175
30,11,2020,Jakarta Selatan,Pajak Kendaraan Bermotor,186985727309
30,11,2020,Jakarta Timur,Pajak Kendaraan Bermotor,157995580475
30,11,2020,Jakarta Utara,Pajak Kendaraan Bermotor,107199785725
